fromGate,toGate,distance,time
A3A,D6,2120,20
A3A,D7,2037,18
A3A,D8,2050,19
A3A,D9,2112,20
A3A,D10,2173,21
A3A,D11,2172,21
A3A,D12,2168,21
A3A,D9A,2117,20
A3A,E1,2359,24
A3A,E2,2379,24
A3A,E3,2396,24
A3A,E4,2439,25
A3A,E5,2467,26
A3A,E6,2461,25
A3A,E7,2461,25
A3A,E8,2426,25
A3A,E9,2391,24
A3A,E10,2226,22
A3A,E11,2210,21
A3A,E12,2134,20
A3A,E14,2177,21
A3A,E24,2262,22
A3A,E23,2288,23
A3A,E15,2315,23
A3A,E16,2363,24
A3A,E17,2386,24
A3A,E18,2424,25
A3A,E19,2416,25
A3A,E20,2374,24
A3A,E21,2357,24
A3A,E22,2330,23
A15,A3H,371,6
A15,A3G,391,7
A15,A3F,403,7
A15,A3E,442,8
A15,A3D,477,8
A15,A3C,471,8
A15,A3B,457,8
A15,A3A,422,7
A15,A14,39,1
A15,A12,49,1
A15,A11,78,1
A15,A10,86,1
A15,A9,104,2
A15,A8,135,2
A15,A7,172,3
A15,A2,317,5
A15,A1,277,5
A15,A17,647,11
A15,A18,677,11
A15,A19,685,11
A15,A20,676,11
A15,A24,669,11
A15,A25,561,9
A15,A26,594,10
A15,A27,631,11
A15,A29,638,11
A15,A30,643,11
A15,B76,1056,14
A15,B77,1053,14
A15,B79,1052,14
A15,B80,1053,14
A15,B81,1054,14
A15,B83,1057,14
A15,B85,1099,15
A15,B86,1099,15
A15,B86A,1099,15
A15,B87,1100,15
A15,B88,1101,15
A15,B11,1161,16
A15,B1,1215,17
A15,B10,1230,17
A15,B2,1249,18
A15,B9,1264,18
A15,B3,1287,18
A15,B8,1303,19
A15,B4,1323,19
A15,B7,1337,19
A15,B6,1334,19
A15,B5,1338,19
A15,B20,1132,16
A15,B12,1145,16
A15,B19,1150,16
A15,B14,1179,17
A15,B18,1187,17
A15,B15,1206,17
A15,B17,1219,17
A15,B16,1215,17
A15,B21,1180,17
A15,B31,1205,17
A15,B30,1227,17
A15,B22,1248,18
A15,B29,1266,18
A15,B23,1285,18
A15,B28,1301,19
A15,B24,1325,19
A15,B27,1337,19
A15,B26,1338,19
A15,B25,1341,19
A15,B85A,1099,15
A15,B81A,1054,14
